qParameter,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,AUC,std_AUC,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
6,GaussianNB,0.9948,0.0,0.9932,0.01,0.9966,0.0,1.0,0.0,0.9966,0.0,0.9854,0.01,0.9966,0.0
6,DecisionTree,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,RandomForest,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,LogisticRegression,0.9918,0.01,1.0,0.0,0.9946,0.0,0.9709,0.02,0.9833,0.01,0.9775,0.02,0.9831,0.01
6,SVM,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,Bagging,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,KNN,0.9977,0.0,1.0,0.0,0.9984,0.0,1.0,0.0,0.9956,0.01,0.9939,0.01,0.9956,0.01
6,MLP,0.7653,0.04,1.0,0.0,0.8664,0.03,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
6,Adaboost,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,Catboost,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,GradientBoosting,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
