qParameter,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,AUC,std_AUC,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
6,GaussianNB,0.999,0.0,0.9848,0.01,0.9923,0.01,0.9997,0.0,0.9924,0.01,0.9918,0.01,0.9924,0.01
6,DecisionTree,0.9999,0.0,0.9992,0.0,0.9992,0.0,0.9996,0.0,0.9996,0.0,0.9992,0.0,0.9996,0.0
6,RandomForest,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,LogisticRegression,0.999,0.0,0.9887,0.01,0.9916,0.01,1.0,0.0,0.9942,0.01,0.991,0.01,0.9941,0.01
6,SVM,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,Bagging,0.9998,0.0,0.9977,0.0,0.9985,0.0,1.0,0.0,0.9988,0.0,0.9984,0.0,0.9988,0.0
6,KNN,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,MLP,0.9796,0.01,0.9993,0.0,0.8607,0.05,0.9891,0.0,0.9888,0.0,0.85,0.05,0.9888,0.0
6,Adaboost,0.9999,0.0,0.9993,0.0,0.9993,0.0,1.0,0.0,0.9996,0.0,0.9992,0.0,0.9996,0.0
6,Catboost,1.0,0.0,1.0,0.0,0.9996,0.0,1.0,0.0,1.0,0.0,0.9996,0.0,1.0,0.0
6,GradientBoosting,0.9801,0.01,0.9986,0.0,0.8649,0.04,0.988,0.0,0.9887,0.0,0.8544,0.05,0.9887,0.0
