qParameter,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,AUC,std_AUC,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
6,GaussianNB,0.9999,0.0,0.9984,0.0,0.9992,0.0,0.9992,0.0,0.9992,0.0,0.9991,0.0,0.9992,0.0
6,DecisionTree,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,RandomForest,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,LogisticRegression,0.9997,0.0,1.0,0.0,0.9973,0.0,0.9996,0.0,0.9998,0.0,0.9971,0.0,0.9998,0.0
6,SVM,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,Bagging,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,KNN,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,MLP,0.9938,0.0,1.0,0.0,0.953,0.02,0.9967,0.0,0.9967,0.0,0.9497,0.02,0.9967,0.0
6,Adaboost,1.0,0.0,0.9992,0.0,0.9996,0.0,1.0,0.0,0.9996,0.0,0.9996,0.0,0.9996,0.0
6,Catboost,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,GradientBoosting,0.9927,0.0,1.0,0.0,0.9449,0.01,0.9922,0.0,0.9961,0.0,0.941,0.02,0.9961,0.0
