qParameter,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,AUC,std_AUC,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
6,GaussianNB,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,DecisionTree,0.9997,0.0,0.9976,0.0,0.9973,0.0,0.9991,0.0,0.9987,0.0,0.9971,0.0,0.9987,0.0
6,RandomForest,1.0,0.0,0.9992,0.0,0.9996,0.0,1.0,0.0,0.9996,0.0,0.9996,0.0,0.9996,0.0
6,LogisticRegression,0.9995,0.0,1.0,0.0,0.9958,0.0,0.9994,0.0,0.9997,0.0,0.9955,0.0,0.9997,0.0
6,SVM,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,Bagging,0.9997,0.0,0.9976,0.0,0.9977,0.0,0.9996,0.0,0.9987,0.0,0.9976,0.0,0.9987,0.0
6,KNN,0.9997,0.0,1.0,0.0,0.9977,0.0,0.9999,0.0,0.9998,0.0,0.9975,0.0,0.9998,0.0
6,MLP,0.9993,0.0,0.9992,0.0,0.9942,0.0,0.9997,0.0,0.9992,0.0,0.9938,0.01,0.9992,0.0
6,Adaboost,0.9999,0.0,0.9992,0.0,0.9993,0.0,1.0,0.0,0.9996,0.0,0.9992,0.0,0.9996,0.0
6,Catboost,0.9999,0.0,1.0,0.0,0.9993,0.0,1.0,0.0,0.9999,0.0,0.9992,0.0,0.9999,0.0
6,GradientBoosting,0.8558,0.27,0.2,0.4,0.1103,0.3,0.8992,0.3,0.5497,0.15,0.0981,0.3,0.0999,0.3
