nameseq,AB.1,AD.1,ASSD.1,MAXD.1,MIND.1,AS.1,APL.1,TALU.1,TU.1,NE.1,MOT3.1,MOT4.1,AB.2,AD.2,ASSD.2,MAXD.2,MIND.2,AS.2,APL.2,TALU.2,TU.2,NE.2,MOT3.2,MOT4.2,AB.3,AD.3,ASSD.3,MAXD.3,MIND.3,AS.3,APL.3,TALU.3,TU.3,NE.3,MOT3.3,MOT4.3,AB.4,AD.4,ASSD.4,MAXD.4,MIND.4,AS.4,APL.4,TALU.4,TU.4,NE.4,MOT3.4,MOT4.4,AB.5,AD.5,ASSD.5,MAXD.5,MIND.5,AS.5,APL.5,TALU.5,TU.5,NE.5,MOT3.5,MOT4.5,AB.6,AD.6,ASSD.6,MAXD.6,MIND.6,AS.6,APL.6,TALU.6,TU.6,NE.6,MOT3.6,MOT4.6,AB.7,AD.7,ASSD.7,MAXD.7,MIND.7,AS.7,APL.7,TALU.7,TU.7,NE.7,MOT3.7,MOT4.7,AB.8,AD.8,ASSD.8,MAXD.8,MIND.8,AS.8,APL.8,TALU.8,TU.8,NE.8,MOT3.8,MOT4.8,AB.9,AD.9,ASSD.9,MAXD.9,MIND.9,AS.9,APL.9,TALU.9,TU.9,NE.9,MOT3.9,MOT4.9,AB.10,AD.10,ASSD.10,MAXD.10,MIND.10,AS.10,APL.10,TALU.10,TU.10,NE.10,MOT3.10,MOT4.10,label
MN369046,41.624999999999964,846.0,0.5792295136477581,2270.0,122.0,487.15170250138715,2.321428571428572,0.11339285714285713,0.10144927536231883,27072.0,1544.0,10844.0,41.624999999999964,846.0,0.5792295136477581,2270.0,122.0,487.15170250138715,2.321428571428572,0.11339285714285713,0.10144927536231883,27072.0,1544.0,10844.0,41.624999999999964,846.0,0.5792295136477581,2270.0,122.0,487.15170250138715,2.321428571428572,0.11339285714285713,0.10144927536231883,27072.0,1544.0,10844.0,41.624999999999964,846.0,0.5792295136477581,2270.0,122.0,487.15170250138715,2.321428571428572,0.11339285714285713,0.10144927536231883,27072.0,1544.0,10844.0,41.624999999999964,846.0,0.5792295136477581,2270.0,122.0,487.15170250138715,2.321428571428572,0.11339285714285713,0.10144927536231883,27072.0,1544.0,10844.0,41.624999999999964,846.0,0.5792295136477581,2270.0,122.0,487.15170250138715,2.321428571428572,0.11339285714285713,0.10144927536231883,27072.0,1544.0,10844.0,41.624999999999964,845.8124999999999,0.5788505913126212,2270.0,122.0,487.3933176539765,2.321428571428572,0.11339285714285713,0.10144927536231883,27072.0,1544.0,10844.0,41.74999999999999,845.59375,0.578470593092741,2270.0,115.0,487.71600082521127,2.3253968253968256,0.11488095238095235,0.1023142509135201,27072.0,1530.0,10707.0,41.874999999999964,844.8437499999999,0.5772077426322823,2270.0,107.0,488.7578394112339,2.3293650793650795,0.11011904761904756,0.09635577516985794,27072.0,1515.0,10581.0,41.921874999999964,844.5625000000001,0.5767411426881982,2270.0,107.0,489.1608846726709,2.3308531746031744,0.10531994047619038,0.09136109384711,27072.0,1511.0,10553.0,0
MN306046,41.62499999999999,852.0937500000001,0.5778837754757785,2296.0,126.0,491.17698944569617,2.321428571428572,0.11339285714285713,0.10144927536231883,27267.0,1544.0,10844.0,41.62499999999999,852.0937500000001,0.5778837754757785,2296.0,126.0,491.17698944569617,2.321428571428572,0.11339285714285713,0.10144927536231883,27267.0,1544.0,10844.0,41.62499999999999,852.0937500000001,0.5778837754757785,2296.0,126.0,491.17698944569617,2.321428571428572,0.11339285714285713,0.10144927536231883,27267.0,1544.0,10844.0,41.62499999999999,852.0937500000001,0.5778837754757785,2296.0,126.0,491.17698944569617,2.321428571428572,0.11339285714285713,0.10144927536231883,27267.0,1544.0,10844.0,41.62499999999999,852.0937500000001,0.5778837754757785,2296.0,126.0,491.17698944569617,2.321428571428572,0.11339285714285713,0.10144927536231883,27267.0,1544.0,10844.0,41.62499999999999,852.0937500000001,0.5778837754757785,2296.0,126.0,491.17698944569617,2.321428571428572,0.11339285714285713,0.10144927536231883,27267.0,1544.0,10844.0,41.62499999999999,852.0937500000001,0.5778837754757785,2296.0,126.0,491.17698944569617,2.321428571428572,0.11339285714285713,0.10144927536231883,27267.0,1544.0,10844.0,41.62499999999999,852.0937500000001,0.5778837754757785,2296.0,126.0,491.17698944569617,2.321428571428572,0.11339285714285713,0.10144927536231883,27267.0,1544.0,10844.0,41.828124999999964,851.0937499999999,0.5762097708558049,2296.0,118.0,492.55255806963135,2.3278769841269837,0.11372767857142853,0.10122699386503067,27267.0,1520.0,10618.0,41.874999999999964,850.8125000000001,0.5756571921567656,2296.0,109.0,492.94437043519423,2.3293650793650795,0.11011904761904756,0.09635577516985794,27267.0,1515.0,10581.0,0
MF542265,41.625000000000036,852.1249999999999,0.5785894471742957,2292.0,128.0,491.7992000044327,2.321428571428572,0.11339285714285713,0.10144927536231883,27268.0,1544.0,10844.0,41.625000000000036,852.1249999999999,0.5785894471742957,2292.0,128.0,491.7992000044327,2.321428571428572,0.11339285714285713,0.10144927536231883,27268.0,1544.0,10844.0,41.625000000000036,852.1249999999999,0.5785894471742957,2292.0,128.0,491.7992000044327,2.321428571428572,0.11339285714285713,0.10144927536231883,27268.0,1544.0,10844.0,41.625000000000036,852.1249999999999,0.5785894471742957,2292.0,128.0,491.7992000044327,2.321428571428572,0.11339285714285713,0.10144927536231883,27268.0,1544.0,10844.0,41.625000000000036,852.1249999999999,0.5785894471742957,2292.0,128.0,491.7992000044327,2.321428571428572,0.11339285714285713,0.10144927536231883,27268.0,1544.0,10844.0,41.625000000000036,852.1249999999999,0.5785894471742957,2292.0,128.0,491.7992000044327,2.321428571428572,0.11339285714285713,0.10144927536231883,27268.0,1544.0,10844.0,41.625000000000036,851.75,0.5779368619023308,2292.0,128.0,492.2975789601245,2.321428571428572,0.11339285714285713,0.10144927536231883,27268.0,1544.0,10844.0,41.703125000000036,851.53125,0.5775994903408791,2292.0,128.0,492.60325595090967,2.3239087301587302,0.11209077380952376,0.1004260499087036,27268.0,1533.0,10747.0,41.765625000000036,851.2812499999999,0.5771161441656758,2292.0,120.0,492.9504750970806,2.325892857142857,0.10892857142857136,0.0956468424279583,27268.0,1527.0,10699.0,41.875000000000014,850.9999999999999,0.5766203403896082,2292.0,111.0,493.3657365484555,2.3293650793650795,0.11011904761904756,0.09635577516985794,27268.0,1515.0,10581.0,0
KY983587,41.625000000000036,851.0000000000001,0.5789012992396574,2294.0,124.0,490.8634929896497,2.321428571428572,0.11339285714285713,0.10144927536231883,27232.0,1544.0,10844.0,41.625000000000036,851.0000000000001,0.5789012992396574,2294.0,124.0,490.8634929896497,2.321428571428572,0.11339285714285713,0.10144927536231883,27232.0,1544.0,10844.0,41.625000000000036,851.0000000000001,0.5789012992396574,2294.0,124.0,490.8634929896497,2.321428571428572,0.11339285714285713,0.10144927536231883,27232.0,1544.0,10844.0,41.625000000000036,851.0000000000001,0.5789012992396574,2294.0,124.0,490.8634929896497,2.321428571428572,0.11339285714285713,0.10144927536231883,27232.0,1544.0,10844.0,41.625000000000036,851.0000000000001,0.5789012992396574,2294.0,124.0,490.8634929896497,2.321428571428572,0.11339285714285713,0.10144927536231883,27232.0,1544.0,10844.0,41.625000000000036,851.0000000000001,0.5789012992396574,2294.0,124.0,490.8634929896497,2.321428571428572,0.11339285714285713,0.10144927536231883,27232.0,1544.0,10844.0,41.625000000000036,850.8125000000003,0.5785259910542143,2294.0,124.0,491.10442738153967,2.321428571428572,0.11339285714285713,0.10144927536231883,27232.0,1544.0,10844.0,41.703125000000014,850.59375,0.5781869611436521,2294.0,124.0,491.41087438205665,2.3239087301587302,0.11209077380952376,0.1004260499087036,27232.0,1533.0,10747.0,41.875000000000036,849.8437500000003,0.5768906689429352,2294.0,108.0,492.47053270823983,2.3293650793650795,0.11011904761904756,0.09635577516985794,27232.0,1515.0,10581.0,41.875000000000036,849.8437500000003,0.5768906689429352,2294.0,108.0,492.47053270823983,2.3293650793650795,0.11011904761904756,0.09635577516985794,27232.0,1515.0,10581.0,0
KY621348,41.625,848.1562500000003,0.579211383520294,2270.0,126.0,488.75895831783737,2.321428571428572,0.11339285714285713,0.10144927536231883,27141.0,1544.0,10844.0,41.625,848.1562500000003,0.579211383520294,2270.0,126.0,488.75895831783737,2.321428571428572,0.11339285714285713,0.10144927536231883,27141.0,1544.0,10844.0,41.625,848.1562500000003,0.579211383520294,2270.0,126.0,488.75895831783737,2.321428571428572,0.11339285714285713,0.10144927536231883,27141.0,1544.0,10844.0,41.625,848.1562500000003,0.579211383520294,2270.0,126.0,488.75895831783737,2.321428571428572,0.11339285714285713,0.10144927536231883,27141.0,1544.0,10844.0,41.625,848.1562500000003,0.579211383520294,2270.0,126.0,488.75895831783737,2.321428571428572,0.11339285714285713,0.10144927536231883,27141.0,1544.0,10844.0,41.625,848.1562500000003,0.579211383520294,2270.0,126.0,488.75895831783737,2.321428571428572,0.11339285714285713,0.10144927536231883,27141.0,1544.0,10844.0,41.625,847.78125,0.5785541990880826,2270.0,126.0,489.25892521081056,2.321428571428572,0.11339285714285713,0.10144927536231883,27141.0,1544.0,10844.0,41.625,847.78125,0.5785541990880826,2270.0,126.0,489.25892521081056,2.321428571428572,0.11339285714285713,0.10144927536231883,27141.0,1544.0,10844.0,41.874999999999964,847.0312500000003,0.5772343690327679,2270.0,110.0,490.3258154262709,2.3293650793650795,0.11011904761904756,0.09635577516985794,27141.0,1515.0,10581.0,41.874999999999964,847.0312500000003,0.5772343690327679,2270.0,110.0,490.3258154262709,2.3293650793650795,0.11011904761904756,0.09635577516985794,27141.0,1515.0,10581.0,0
KY967357,41.62499999999999,851.2187499999999,0.5762330870563983,2286.0,122.0,492.3271736339946,2.321428571428572,0.11339285714285713,0.10144927536231883,27239.0,1544.0,10844.0,41.62499999999999,851.2187499999999,0.5762330870563983,2286.0,122.0,492.3271736339946,2.321428571428572,0.11339285714285713,0.10144927536231883,27239.0,1544.0,10844.0,41.62499999999999,851.2187499999999,0.5762330870563983,2286.0,122.0,492.3271736339946,2.321428571428572,0.11339285714285713,0.10144927536231883,27239.0,1544.0,10844.0,41.62499999999999,851.2187499999999,0.5762330870563983,2286.0,122.0,492.3271736339946,2.321428571428572,0.11339285714285713,0.10144927536231883,27239.0,1544.0,10844.0,41.62499999999999,851.2187499999999,0.5762330870563983,2286.0,122.0,492.3271736339946,2.321428571428572,0.11339285714285713,0.10144927536231883,27239.0,1544.0,10844.0,41.62499999999999,851.2187499999999,0.5762330870563983,2286.0,122.0,492.3271736339946,2.321428571428572,0.11339285714285713,0.10144927536231883,27239.0,1544.0,10844.0,41.62499999999999,851.03125,0.5758550153428214,2286.0,122.0,492.5682366672028,2.321428571428572,0.11339285714285713,0.10144927536231883,27239.0,1544.0,10844.0,41.70312499999999,850.8124999999999,0.5755119300212183,2286.0,122.0,492.87475827409753,2.3239087301587302,0.11209077380952376,0.1004260499087036,27239.0,1533.0,10747.0,41.87499999999999,850.0624999999997,0.5742023983612442,2286.0,106.0,493.93464506324113,2.3293650793650795,0.11011904761904756,0.09635577516985794,27239.0,1515.0,10581.0,41.921875,849.7812499999997,0.5737346760164319,2286.0,106.0,494.33757660978745,2.3308531746031744,0.10531994047619038,0.09136109384711,27239.0,1511.0,10553.0,0
KY674919,41.625000000000014,847.9062499999999,0.5775402033208549,2268.0,126.0,488.8401041863664,2.321428571428572,0.11339285714285713,0.10144927536231883,27133.0,1544.0,10844.0,41.625000000000014,847.9062499999999,0.5775402033208549,2268.0,126.0,488.8401041863664,2.321428571428572,0.11339285714285713,0.10144927536231883,27133.0,1544.0,10844.0,41.625000000000014,847.9062499999999,0.5775402033208549,2268.0,126.0,488.8401041863664,2.321428571428572,0.11339285714285713,0.10144927536231883,27133.0,1544.0,10844.0,41.625000000000014,847.9062499999999,0.5775402033208549,2268.0,126.0,488.8401041863664,2.321428571428572,0.11339285714285713,0.10144927536231883,27133.0,1544.0,10844.0,41.625000000000014,847.9062499999999,0.5775402033208549,2268.0,126.0,488.8401041863664,2.321428571428572,0.11339285714285713,0.10144927536231883,27133.0,1544.0,10844.0,41.625000000000014,847.9062499999999,0.5775402033208549,2268.0,126.0,488.8401041863664,2.321428571428572,0.11339285714285713,0.10144927536231883,27133.0,1544.0,10844.0,41.625000000000014,847.7187499999999,0.5771605945405036,2268.0,126.0,489.0816160401426,2.321428571428572,0.11339285714285713,0.10144927536231883,27133.0,1544.0,10844.0,41.625000000000014,847.7187499999999,0.5771605945405036,2268.0,126.0,489.0816160401426,2.321428571428572,0.11339285714285713,0.10144927536231883,27133.0,1544.0,10844.0,41.765625000000014,846.96875,0.5759195462872128,2268.0,118.0,490.12023297700887,2.325892857142857,0.10892857142857136,0.0956468424279583,27133.0,1527.0,10699.0,41.921875000000014,846.4062500000003,0.5749580860837182,2268.0,109.0,490.9383463948783,2.3308531746031744,0.10531994047619038,0.09136109384711,27133.0,1511.0,10553.0,0
KY684760,41.62499999999999,851.4375000000001,0.5783455590452076,2298.0,124.0,491.2479285897804,2.321428571428572,0.11339285714285713,0.10144927536231883,27246.0,1544.0,10844.0,41.62499999999999,851.4375000000001,0.5783455590452076,2298.0,124.0,491.2479285897804,2.321428571428572,0.11339285714285713,0.10144927536231883,27246.0,1544.0,10844.0,41.62499999999999,851.4375000000001,0.5783455590452076,2298.0,124.0,491.2479285897804,2.321428571428572,0.11339285714285713,0.10144927536231883,27246.0,1544.0,10844.0,41.62499999999999,851.4375000000001,0.5783455590452076,2298.0,124.0,491.2479285897804,2.321428571428572,0.11339285714285713,0.10144927536231883,27246.0,1544.0,10844.0,41.62499999999999,851.4375000000001,0.5783455590452076,2298.0,124.0,491.2479285897804,2.321428571428572,0.11339285714285713,0.10144927536231883,27246.0,1544.0,10844.0,41.62499999999999,851.4375000000001,0.5783455590452076,2298.0,124.0,491.2479285897804,2.321428571428572,0.11339285714285713,0.10144927536231883,27246.0,1544.0,10844.0,41.62499999999999,851.2500000000001,0.5779707083480955,2298.0,124.0,491.4888414297928,2.321428571428572,0.11339285714285713,0.10144927536231883,27246.0,1544.0,10844.0,41.70312500000001,851.03125,0.5776343954491663,2298.0,124.0,491.79479869498164,2.3239087301587302,0.11209077380952376,0.1004260499087036,27246.0,1533.0,10747.0,41.87500000000001,850.28125,0.5763421372630197,2298.0,108.0,492.85429733181536,2.3293650793650795,0.11011904761904756,0.09635577516985794,27246.0,1515.0,10581.0,41.87500000000001,850.28125,0.5763421372630197,2298.0,108.0,492.85429733181536,2.3293650793650795,0.11011904761904756,0.09635577516985794,27246.0,1515.0,10581.0,0
KY369908,41.625,849.6875000000001,0.57879499990398,2282.0,124.0,490.39881330785255,2.321428571428572,0.11339285714285713,0.10144927536231883,27190.0,1544.0,10844.0,41.625,849.6875000000001,0.57879499990398,2282.0,124.0,490.39881330785255,2.321428571428572,0.11339285714285713,0.10144927536231883,27190.0,1544.0,10844.0,41.625,849.6875000000001,0.57879499990398,2282.0,124.0,490.39881330785255,2.321428571428572,0.11339285714285713,0.10144927536231883,27190.0,1544.0,10844.0,41.625,849.6875000000001,0.57879499990398,2282.0,124.0,490.39881330785255,2.321428571428572,0.11339285714285713,0.10144927536231883,27190.0,1544.0,10844.0,41.625,849.6875000000001,0.57879499990398,2282.0,124.0,490.39881330785255,2.321428571428572,0.11339285714285713,0.10144927536231883,27190.0,1544.0,10844.0,41.625,849.6875000000001,0.57879499990398,2282.0,124.0,490.39881330785255,2.321428571428572,0.11339285714285713,0.10144927536231883,27190.0,1544.0,10844.0,41.625,849.4999999999999,0.578416267946797,2282.0,124.0,490.6402386168505,2.321428571428572,0.11339285714285713,0.10144927536231883,27190.0,1544.0,10844.0,41.70312499999999,849.28125,0.5780780563183601,2282.0,124.0,490.94594498624537,2.3239087301587302,0.11209077380952376,0.1004260499087036,27190.0,1533.0,10747.0,41.87499999999999,848.5312499999999,0.5767748554923822,2282.0,108.0,492.0061282884976,2.3293650793650795,0.11011904761904756,0.09635577516985794,27190.0,1515.0,10581.0,41.87499999999999,848.5312499999999,0.5767748554923822,2282.0,108.0,492.0061282884976,2.3293650793650795,0.11011904761904756,0.09635577516985794,27190.0,1515.0,10581.0,0
KY369909,41.625,830.9062499999997,0.5792673884675646,2218.0,122.0,480.16327687666563,2.321428571428572,0.11339285714285713,0.10144927536231883,26589.0,1544.0,10844.0,41.625,830.9062499999997,0.5792673884675646,2218.0,122.0,480.16327687666563,2.321428571428572,0.11339285714285713,0.10144927536231883,26589.0,1544.0,10844.0,41.625,830.9062499999997,0.5792673884675646,2218.0,122.0,480.16327687666563,2.321428571428572,0.11339285714285713,0.10144927536231883,26589.0,1544.0,10844.0,41.625,830.9062499999997,0.5792673884675646,2218.0,122.0,480.16327687666563,2.321428571428572,0.11339285714285713,0.10144927536231883,26589.0,1544.0,10844.0,41.625,830.9062499999997,0.5792673884675646,2218.0,122.0,480.16327687666563,2.321428571428572,0.11339285714285713,0.10144927536231883,26589.0,1544.0,10844.0,41.625,830.7500000000003,0.5789433949274648,2218.0,122.0,480.36428234205766,2.321428571428572,0.11339285714285713,0.10144927536231883,26589.0,1544.0,10844.0,41.625,830.5625000000003,0.5786639297454685,2218.0,122.0,480.61974558246146,2.321428571428572,0.11339285714285713,0.10144927536231883,26589.0,1544.0,10844.0,41.625,830.5625000000003,0.5786639297454685,2218.0,122.0,480.61974558246146,2.321428571428572,0.11339285714285713,0.10144927536231883,26589.0,1544.0,10844.0,41.875000000000014,829.8124999999997,0.5773216861485466,2218.0,106.0,481.68311273465883,2.3293650793650795,0.11011904761904756,0.09635577516985794,26589.0,1515.0,10581.0,41.875000000000014,829.8124999999997,0.5773216861485466,2218.0,106.0,481.68311273465883,2.3293650793650795,0.11011904761904756,0.09635577516985794,26589.0,1515.0,10581.0,0
