nameseq,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,class
MN369046,1.9472583041763631,3.8584768295019214,5.760736333001139,7.653391825130948,9.525607195778411,11.325758413813587,12.884442055329805,13.927216542812,14.440334642164931,14.633891613087194,14.696937196103846,14.71632807664205,0
MN306046,1.9470113689731583,3.85808769727416,5.760559936315472,7.653546892537358,9.526317838742392,11.327516885612473,12.886542918161108,13.93018252010451,14.445938184703634,14.641469737931613,14.705093406434518,14.724829634524466,0
MF542265,1.9467892614300304,3.857780511796701,5.759849317059787,7.652205084469429,9.52460394586943,11.325807929148949,12.885803874610133,13.931567357695695,14.447103871730313,14.641520514628375,14.705191053644766,14.724444462010698,0
KY983587,1.946912218519828,3.857955453920813,5.759917436520853,7.651832590134339,9.523714634110355,11.323702830567086,12.883436614203534,13.93059844517561,14.447270448451405,14.64192494239344,14.705765661278608,14.72484992526026,0
KY621348,1.9471363089745288,3.858235333573496,5.760353353446865,7.652139826907789,9.523791139157073,11.323747670417848,12.88276196560959,13.92837155996636,14.444539702847447,14.637877913803177,14.70115810857407,14.720011542590553,0
KY967357,1.94683680801982,3.85722551352458,5.7585274166560145,7.650021427819255,9.521326952056397,11.320896570719755,12.878231232542285,13.924830012764632,14.441617138528711,14.636221026565154,14.700444039549232,14.720049253416528,0
KY674919,1.9472082569076916,3.858253320963848,5.760528521136953,7.652966518577082,9.52477358329028,11.3244925997174,12.883940496714034,13.926264375081685,14.439202504391535,14.630857972421556,14.694044644554873,14.713634638342276,0
KY684760,1.947065721431916,3.8580224813362434,5.760034441431893,7.652169143247714,9.524088612142918,11.325042632714204,12.883532162192385,13.929485172749526,14.446506315631947,14.642217305171494,14.706080622379432,14.725375342104009,0
KY369908,1.9470424934082824,3.857872135580832,5.759595022149536,7.6512684001230005,9.522619938984423,11.322378682799004,12.88105529518984,13.92763951348115,14.444170506264793,14.6390604393755,14.703276041383187,14.722610517903796,0
KY369909,1.9470449197457984,3.857529709388925,5.759078017893765,7.649926062061932,9.519875770960189,11.316444759346302,12.868736644049651,13.906194690238221,14.416991751483815,14.608804197193756,14.67162963667047,14.690347907226865,0
KY369910,1.9468727906941607,3.8578998594515066,5.760030114898468,7.652179002948046,9.523864227676103,11.323526671286439,12.883033494217145,13.929918789257176,14.4464222021216,14.63947970561531,14.702782515046618,14.722097039480689,0
