nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
MN369046,402.83603736000384,7.782876240510723,10584543.889388165,0.0004934505155815903,22.403655986553648,2885.711245900724,64324.948423722286,64326.13635964718,1.8190233649049048,3.2595559707953834,7.782876240510723,15.90505304452096,10584543.888894713,4137851818.959922,12.645497073725574,6.322748536862787,159.68022336153803,0.018424569508421185,0.2497250192392109,0
MN306046,405.71809747999686,7.840941044548869,10737069.591310237,0.00018033032952181685,22.404719080711363,2897.2576016824305,65018.17731160048,65019.36946351732,1.825524107512341,3.2405939083670816,7.840941044548869,15.987489968104406,10737069.591129908,4227518405.4333687,12.746896059737322,6.373448029868661,160.2545652152134,0.018358427114710543,0.2496263189661377,0
MF542265,405.78033668000717,7.901170716152703,10739369.990764838,0.0006243450944772728,22.40210407361815,2894.22989438936,65030.91494247961,65032.10728422469,1.8515738760675784,3.312755915084621,7.901170716152703,16.066887391938415,10739369.990140492,4229174977.826911,12.754131476853793,6.3770657384268965,160.26137558696468,0.018354923945747125,0.25117392383415016,0
KY983587,405.29715958000463,7.788980151895554,10712494.960827034,0.0011057298076900372,22.399202952078166,2900.0717917028933,64911.033081003916,64912.224797924464,1.7949815430174754,3.2756890854885743,7.788980151895554,16.123806185590688,10712494.959721304,4213596928.216279,12.848117100102115,6.4240585500510585,160.1566444439654,0.018371677073697933,0.25049421177859443,0
KY621348,403.95527763000155,7.933556908024662,10641363.609366093,0.0003648382269387855,22.398519096184245,2891.3407157831407,64588.01136188631,64589.20112382285,1.8386052847947985,3.274364139946796,7.933556908024662,15.990174394238947,10641363.609001253,4171764901.813639,12.715810254292151,6.3579051271460765,159.88901479595225,0.018394515284101364,0.2512542034158328,0
KY967357,405.34002390999206,7.786990651749799,10716365.954113193,0.0003430413912368536,22.402590741157788,2900.314000551258,64926.14732754273,64927.33901565053,1.871511972447421,3.225169908570137,7.786990651749799,16.155242954404937,10716365.953770153,4215559351.653215,12.930073045834801,6.4650365229174005,160.1769958496867,0.01836947283746777,0.24962489816907416,0
KY674919,403.62342253000025,7.7881816806958035,10628736.46638049,0.0006086390155081406,22.410328113852263,2888.338348196645,64520.878413181825,64522.06728887707,1.8520811677067333,3.2761506855469364,7.7881816806958035,15.892293565281605,10628736.46577185,4163097167.230381,12.616142879734669,6.3080714398673345,159.85414822745122,0.018404983809168076,0.2452505232038685,0
KY684760,405.4189466500025,7.898258466516349,10720781.821860244,0.000792932560561619,22.403985001325893,2894.373057208169,64944.5569463105,64945.74866608976,1.8110498566342037,3.3000053827423965,7.898258466516349,16.04955260887886,10720781.82106731,4217950269.7989,12.749547226136462,6.374773613068231,160.19122313584674,0.01836277157970832,0.24926703029569786,0
KY369908,404.59953436000063,7.841072509863861,10677226.751526754,0.00055287661972765,22.403222355832376,2894.156128393937,64747.271472726796,64748.462019141276,1.8625210913074857,3.249271810652818,7.841072509863861,16.030587701962208,10677226.750973878,4192363333.8441796,12.78131589130939,6.390657945654695,160.02804248191896,0.018383406103094004,0.2499206474326144,0
KY369909,395.6393744200012,7.6286112387644325,10210020.055468833,0.00013743540188074398,22.404241268944567,2862.935790148253,62609.82143975028,62610.998703351004,1.795660101015732,3.1670719166045163,7.6286112387644325,15.629616988930282,10210020.055331396,3920137158.631021,12.462545072325765,6.231272536162883,158.2497230755532,0.018591848096290508,0.2487293944326485,0
