nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
MN369046,0.001427316902285762,0.00019796854958993132,22.960556243113697,3.0382742984358906e-09,6321651.474560562,485164.7550787921,0.13955497995149332,0.1395575577867794,4.257070405566334e-05,7.633419217591113e-05,0.00019796854958993132,0.0004947123682197592,22.960556240075423,0.019476311935410266,0.000418378176043848,0.000209189088021924,97.77434830905767,0.026427183461094596,0.15588796316249412,0
MN306046,0.0014368022062834582,0.00019828351643380793,23.26972472104611,3.224092723815345e-08,6325157.325243613,487790.5398560699,0.14092737168559683,0.1409299562522148,4.128777177346697e-05,7.698981484089435e-05,0.00019828351643380793,0.000501309902713316,23.269724688805184,0.019861252569251177,0.00042432008787242164,0.00021216004393621082,98.08404460216572,0.02636504197238705,0.15404783204439151,0
MF542265,0.0014371985749284555,0.00020113644481171958,23.267663985815602,1.0493096692775172e-09,6323644.826732281,486960.49275049334,0.14091230281745487,0.14091488701292754,4.19067590839401e-05,7.802710250362343e-05,0.00020113644481171958,0.000506764236627061,23.267663984766294,0.019857005381866133,0.00042873713412343756,0.00021436856706171878,98.04650886497683,0.02631556163803515,0.15520794367753082,0
KY983587,0.0014436719412540156,0.00020047324006067195,23.252662258774315,1.1551650280077875e-08,6286977.722549186,484314.80584543286,0.14091479831021336,0.14091738596822148,4.2625315140063363e-05,7.660799851798362e-05,0.00020047324006067195,0.0005069375400799103,23.252662247222666,0.019857709668116705,0.0004303295415619267,0.00021516477078096336,97.60860087632558,0.026467029356062412,0.15659705555864456,0
KY621348,0.0014471281779273803,0.00020217700110367393,23.1659643145454,4.629676539764439e-08,6251001.216047046,481149.2235709661,0.14062448402197317,0.14062707500823804,4.195062127259985e-05,7.686631148399637e-05,0.00020217700110367393,0.000515908096394671,23.165964268248633,0.019775974225372604,0.0004390417849106747,0.00021952089245533735,97.17486409765009,0.02655905588878486,0.15934219485128107,0
KY967357,0.0015025592569129277,0.0002042458201485292,23.691401760833276,3.4212113111441645e-08,6042135.526367975,473044.4669630622,0.14355556091301,0.14355819638654016,4.357869932084599e-05,7.697573623330262e-05,0.0002042458201485292,0.0005201183127699696,23.691401726621162,0.020608955749756432,0.000443142576536667,0.0002215712882683335,95.54069847997279,0.027131936133448723,0.15053447748626914,0
KY674919,0.0015003867333281712,0.00020268041606592456,23.421604003821,1.7002676729684013e-08,6027334.908029566,471032.12779525114,0.14219809538764597,0.14220071614007004,4.228753572422231e-05,7.594117016660883e-05,0.00020268041606592456,0.0005204031209033395,23.421603986818322,0.020221043670748774,0.0004444619507367307,0.00022223097536836536,94.77429533932288,0.027378137106363592,0.14870459706573397,0
KY684760,0.0014411564421392415,0.00019943871835552564,23.317310007197445,2.0465046175427643e-08,6301189.61028286,487087.8042518469,0.14127008003937924,0.1412726728883556,4.0884690883719954e-05,7.482057407525941e-05,0.00019943871835552564,0.0005019485112777149,23.3173099867324,0.019957968105020325,0.0004271279372024555,0.00021356396860122776,98.0254994590865,0.02636901720670616,0.15442917738590045,0
KY369908,0.0014494590891398812,0.00020416953853436847,23.298988359697958,1.7884124534049945e-08,6252217.396981507,481680.21709594916,0.14130443978521823,0.14130703860704538,4.277819604710452e-05,7.679767376614528e-05,0.00020416953853436847,0.000514846819953562,23.298988341813832,0.019967679159893014,0.0004380491461874167,0.00021902457309370835,97.48770478859754,0.026438437868583835,0.16046109793541888,0
KY369909,0.0014547391098424882,0.00020542305901956058,22.715158994640813,4.507742752155751e-09,6091813.947972797,467520.0756119172,0.1393118082211299,0.13931442831701457,4.300807626145616e-05,7.81763864217504e-05,0.00020542305901956058,0.000520984646804522,22.71515899013307,0.01940850993729659,0.0004428082603827716,0.0002214041301913858,95.76411830724334,0.02690330561584311,0.15504204090735768,0
